X,Y
45.500,92.000
46.237,92.216
46.974,92.431
47.712,92.647
48.449,92.862
49.187,93.077
49.925,93.291
50.664,93.505
51.404,93.718
52.144,93.931
52.885,94.142
53.627,94.353
54.370,94.563
55.113,94.772
55.858,94.979
56.604,95.186
57.352,95.391
58.101,95.594
58.851,95.796
59.603,95.997
60.357,96.195
61.112,96.392
61.869,96.587
62.628,96.780
63.389,96.972
64.152,97.160
64.917,97.347
65.685,97.531
66.454,97.713
67.227,97.893
68.001,98.069
68.779,98.244
69.559,98.415
70.342,98.583
71.127,98.749
71.916,98.911
72.708,99.071
73.502,99.227
74.300,99.380
75.102,99.529
75.906,99.675
76.714,99.817
77.526,99.956
78.341,100.091
79.160,100.222
79.983,100.349
80.810,100.472
81.641,100.591
82.475,100.706
83.314,100.817
84.156,100.924
85.002,101.027
85.852,101.127
86.705,101.223
87.562,101.315
88.422,101.403
89.286,101.489
90.153,101.570
91.023,101.649
91.896,101.724
92.772,101.796
93.651,101.865
94.533,101.931
95.418,101.995
96.305,102.055
97.195,102.113
98.088,102.168
98.983,102.220
99.881,102.270
100.781,102.317
101.683,102.363
102.588,102.405
103.495,102.446
104.403,102.484
105.314,102.521
106.227,102.555
107.141,102.588
108.057,102.619
108.975,102.648
109.894,102.676
110.815,102.701
111.737,102.726
112.661,102.749
113.586,102.771
114.512,102.791
115.440,102.810
116.368,102.828
117.298,102.845
118.228,102.862
119.159,102.877
120.091,102.892
121.024,102.905
121.957,102.919
122.891,102.931
123.825,102.943
124.759,102.955
125.694,102.967
126.629,102.978
127.565,102.989
128.500,103.000
