X,Y
218.000,89.000
217.353,88.825
216.706,88.650
216.059,88.475
215.412,88.300
214.765,88.126
214.117,87.951
213.469,87.777
212.821,87.603
212.173,87.430
211.525,87.257
210.876,87.084
210.226,86.911
209.577,86.739
208.926,86.568
208.276,86.397
207.624,86.227
206.973,86.057
206.320,85.888
205.667,85.720
205.013,85.552
204.359,85.386
203.703,85.220
203.047,85.055
202.390,84.890
201.733,84.727
201.074,84.565
200.414,84.404
199.754,84.244
199.092,84.085
198.430,83.927
197.766,83.770
197.101,83.614
196.435,83.460
195.768,83.307
195.099,83.156
194.430,83.005
193.759,82.856
193.086,82.709
192.413,82.563
191.738,82.419
191.061,82.276
190.383,82.135
189.703,81.995
189.022,81.857
188.340,81.721
187.655,81.587
186.969,81.454
186.282,81.324
185.592,81.195
184.901,81.068
184.208,80.943
183.514,80.819
182.818,80.697
182.120,80.577
181.421,80.459
180.721,80.342
180.019,80.227
179.315,80.114
178.610,80.001
177.904,79.891
177.197,79.782
176.488,79.674
175.778,79.567
175.067,79.462
174.354,79.359
173.641,79.256
172.926,79.155
172.210,79.055
171.493,78.956
170.775,78.858
170.056,78.761
169.337,78.665
168.616,78.570
167.894,78.476
167.172,78.383
166.449,78.291
165.724,78.200
165.000,78.110
164.274,78.020
163.548,77.931
162.821,77.843
162.094,77.755
161.366,77.669
160.637,77.582
159.908,77.497
159.178,77.411
158.449,77.327
157.718,77.242
156.987,77.158
156.256,77.075
155.525,76.992
154.793,76.909
154.061,76.826
153.329,76.744
152.597,76.661
151.864,76.579
151.132,76.497
150.399,76.415
149.667,76.333
