Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0093-0036,Point,36,93,1,1,1,none,none,0,0,0,0,0
1,0092-0235,Point,235,92,1,1,1,none,none,0,0,0,0,0
