 ,Area,Mean,Min,Max,X,Y,Perim.
1,45,4446.301,4289.074,4684.582,263.500,291.500,28
2,45,4212.208,4080.640,4368.432,282.500,290.500,28
3,54,4218.016,4146.792,4317.481,262.000,190.500,30
4,32,4222.946,4161.286,4340.094,271.000,191.000,24
