Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0052-0023,Point,23,52,1,1,1,none,none,0,0,0,0,0
1,0057-0179,Point,179,57,1,1,1,none,none,0,0,0,0,0
