X,Y
133.750,83.000
133.365,83.464
132.980,83.927
132.595,84.390
132.210,84.853
131.823,85.315
131.437,85.776
131.049,86.236
130.661,86.694
130.271,87.152
129.880,87.607
129.488,88.061
129.094,88.512
128.699,88.962
128.301,89.409
127.902,89.854
127.501,90.295
127.098,90.734
126.692,91.170
126.284,91.602
125.874,92.031
125.460,92.457
125.044,92.878
124.625,93.296
124.203,93.709
123.777,94.118
123.348,94.522
122.916,94.922
122.479,95.316
122.039,95.706
121.595,96.090
121.147,96.469
120.695,96.842
120.239,97.209
119.777,97.570
119.312,97.926
118.842,98.275
118.368,98.618
117.890,98.955
117.407,99.286
116.920,99.611
116.429,99.929
115.933,100.241
115.434,100.547
114.930,100.846
114.422,101.139
113.910,101.426
113.394,101.706
112.873,101.979
112.349,102.246
111.820,102.506
111.288,102.760
110.751,103.007
110.211,103.247
109.666,103.480
109.118,103.707
108.565,103.926
108.009,104.139
107.449,104.345
106.885,104.544
106.317,104.735
105.745,104.920
105.170,105.097
104.591,105.268
104.008,105.431
103.421,105.586
102.831,105.735
102.237,105.877
101.639,106.012
101.039,106.140
100.435,106.262
99.828,106.378
99.218,106.488
98.605,106.592
97.989,106.691
97.370,106.785
96.749,106.874
96.126,106.957
95.500,107.036
94.872,107.111
94.241,107.182
93.609,107.248
92.975,107.311
92.339,107.370
91.701,107.425
91.061,107.478
90.421,107.528
89.778,107.575
89.135,107.619
88.490,107.661
87.844,107.701
87.197,107.739
86.549,107.775
85.901,107.810
85.252,107.844
84.602,107.876
83.952,107.908
83.301,107.939
82.651,107.970
82.000,108.000
