X,Y
63.000,47.000
63.206,46.166
63.413,45.334
63.622,44.505
63.835,43.682
64.053,42.865
64.277,42.057
64.508,41.259
64.748,40.473
64.998,39.701
65.259,38.945
65.532,38.205
65.818,37.484
66.120,36.784
66.437,36.106
66.771,35.452
67.123,34.824
67.496,34.223
67.888,33.651
68.303,33.110
68.739,32.601
69.196,32.122
69.670,31.673
70.162,31.256
70.670,30.868
71.192,30.511
71.727,30.183
72.274,29.885
72.831,29.617
73.397,29.377
73.970,29.167
74.549,28.985
75.133,28.831
75.721,28.706
76.311,28.610
76.903,28.542
77.497,28.502
78.094,28.492
78.693,28.512
79.293,28.562
79.896,28.642
80.500,28.753
81.106,28.895
81.714,29.068
82.323,29.273
82.933,29.510
83.545,29.779
84.159,30.081
84.773,30.416
85.387,30.780
86.002,31.173
86.615,31.592
87.227,32.035
87.837,32.500
88.443,32.984
89.047,33.486
89.646,34.003
90.240,34.534
90.828,35.076
91.411,35.627
91.986,36.185
92.554,36.747
93.115,37.312
93.666,37.878
94.208,38.442
94.739,39.003
95.261,39.559
95.775,40.110
96.281,40.656
96.781,41.197
97.277,41.733
97.769,42.265
98.259,42.792
98.749,43.314
99.240,43.831
99.732,44.344
100.228,44.852
100.728,45.355
101.234,45.854
101.747,46.348
102.269,46.837
102.801,47.322
103.344,47.802
103.898,48.278
104.462,48.750
105.037,49.217
105.620,49.681
106.213,50.142
106.813,50.599
107.421,51.054
108.035,51.506
108.655,51.956
109.280,52.403
109.910,52.849
110.544,53.293
111.181,53.736
111.821,54.178
112.463,54.619
113.106,55.060
113.750,55.500
