X,Y
64.250,44.750
64.396,44.004
64.544,43.260
64.695,42.519
64.851,41.782
65.014,41.052
65.185,40.330
65.367,39.617
65.560,38.916
65.766,38.227
65.988,37.552
66.226,36.893
66.483,36.251
66.761,35.628
67.060,35.026
67.382,34.446
67.730,33.890
68.104,33.359
68.506,32.854
68.934,32.376
69.385,31.925
69.858,31.500
70.352,31.103
70.863,30.733
71.391,30.391
71.933,30.076
72.487,29.789
73.052,29.530
73.626,29.299
74.206,29.096
74.792,28.922
75.380,28.776
75.969,28.659
76.560,28.571
77.151,28.513
77.743,28.484
78.336,28.484
78.930,28.515
79.525,28.576
80.122,28.667
80.719,28.789
81.319,28.941
81.919,29.125
82.522,29.341
83.126,29.587
83.731,29.866
84.338,30.177
84.947,30.519
85.557,30.890
86.166,31.287
86.775,31.710
87.382,32.155
87.987,32.622
88.589,33.106
89.188,33.608
89.782,34.124
90.371,34.652
90.954,35.191
91.530,35.738
92.099,36.291
92.660,36.849
93.213,37.409
93.756,37.968
94.288,38.526
94.810,39.080
95.322,39.629
95.824,40.173
96.320,40.712
96.809,41.247
97.295,41.777
97.778,42.303
98.259,42.824
98.741,43.340
99.225,43.853
99.713,44.361
100.205,44.864
100.704,45.364
101.211,45.859
101.728,46.351
102.256,46.838
102.796,47.322
103.351,47.801
103.919,48.277
104.501,48.750
105.096,49.219
105.703,49.685
106.321,50.148
106.949,50.608
107.586,51.066
108.233,51.522
108.887,51.976
109.548,52.428
110.216,52.878
110.889,53.326
111.567,53.774
112.249,54.220
112.934,54.666
113.621,55.111
114.310,55.556
115.000,56.000
