X,Y
53.000,118.000
53.980,117.617
54.961,117.234
55.942,116.852
56.923,116.471
57.905,116.091
58.888,115.712
59.872,115.335
60.857,114.959
61.843,114.586
62.830,114.215
63.819,113.847
64.809,113.482
65.802,113.120
66.796,112.761
67.793,112.407
68.791,112.056
69.793,111.710
70.797,111.368
71.803,111.031
72.813,110.699
73.825,110.373
74.841,110.052
75.860,109.737
76.883,109.428
77.909,109.126
78.939,108.831
79.973,108.542
81.011,108.261
82.054,107.987
83.101,107.722
84.152,107.464
85.209,107.214
86.270,106.974
87.336,106.742
88.407,106.519
89.484,106.305
90.566,106.101
91.652,105.906
92.742,105.719
93.835,105.542
94.932,105.372
96.031,105.210
97.132,105.057
98.235,104.910
99.339,104.772
100.444,104.640
101.549,104.515
102.654,104.397
103.758,104.286
104.861,104.180
105.962,104.081
107.061,103.987
108.158,103.899
109.251,103.816
110.341,103.738
111.427,103.665
112.509,103.597
113.586,103.532
114.657,103.472
115.722,103.416
116.781,103.364
117.833,103.315
118.878,103.269
119.915,103.226
120.944,103.185
121.964,103.148
122.975,103.112
123.976,103.079
124.968,103.047
125.948,103.017
126.918,102.988
127.877,102.960
128.824,102.933
129.762,102.908
130.689,102.883
131.607,102.860
132.516,102.837
133.416,102.816
134.308,102.795
135.192,102.775
136.068,102.756
136.937,102.738
137.799,102.720
138.655,102.703
139.505,102.687
140.349,102.671
141.188,102.656
142.023,102.641
142.853,102.627
143.679,102.613
144.501,102.599
145.321,102.586
146.137,102.573
146.951,102.561
147.763,102.548
148.574,102.536
149.383,102.524
150.192,102.512
151.000,102.500
