Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0037-0090,Point,90,37,1,1,1,none,none,0,0,0,0,0
1,0028-0089,Point,89,28,1,1,1,none,none,0,0,0,0,0
