Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0059-0083,Point,83,59,1,1,1,none,none,0,0,0,0,0
1,0052-0082,Point,82,52,1,0,1,none,none,0,0,0,0,0
