X,Y
237.000,86.000
236.225,85.008
235.450,84.016
234.674,83.025
233.899,82.037
233.124,81.051
232.348,80.068
231.573,79.090
230.797,78.116
230.021,77.147
229.245,76.185
228.469,75.228
227.693,74.279
226.916,73.338
226.139,72.406
225.362,71.483
224.585,70.570
223.807,69.667
223.029,68.775
222.250,67.896
221.472,67.029
220.692,66.175
219.913,65.335
219.133,64.509
218.352,63.699
217.572,62.904
216.790,62.126
216.008,61.365
215.225,60.619
214.441,59.889
213.655,59.172
212.867,58.470
212.076,57.779
211.283,57.100
210.486,56.433
209.686,55.775
208.881,55.126
208.073,54.485
207.259,53.852
206.441,53.226
205.617,52.605
204.787,51.989
203.951,51.378
203.108,50.769
202.258,50.163
201.401,49.559
200.536,48.955
199.663,48.350
198.782,47.745
197.891,47.139
196.992,46.530
196.084,45.921
195.168,45.311
194.242,44.700
193.308,44.090
192.365,43.481
191.414,42.873
190.455,42.267
189.487,41.663
188.510,41.061
187.526,40.463
186.533,39.868
185.532,39.277
184.523,38.691
183.506,38.109
182.481,37.533
181.448,36.963
180.407,36.400
179.359,35.843
178.302,35.293
177.239,34.751
176.167,34.218
175.088,33.693
174.002,33.177
172.908,32.671
171.807,32.173
170.699,31.685
169.585,31.204
168.464,30.731
167.338,30.266
166.206,29.809
165.069,29.358
163.926,28.913
162.779,28.475
161.627,28.042
160.471,27.615
159.311,27.193
158.148,26.775
156.980,26.362
155.810,25.953
154.637,25.548
153.462,25.145
152.284,24.746
151.104,24.349
149.923,23.954
148.740,23.561
147.556,23.170
146.371,22.779
145.186,22.389
144.000,22.000
