X,Y
151.000,41.000
150.434,40.534
149.867,40.068
149.300,39.602
148.733,39.138
148.165,38.676
147.596,38.215
147.026,37.757
146.455,37.302
145.882,36.850
145.308,36.401
144.732,35.956
144.154,35.515
143.573,35.079
142.991,34.648
142.406,34.223
141.818,33.803
141.228,33.390
140.634,32.983
140.037,32.584
139.437,32.192
138.833,31.807
138.226,31.431
137.615,31.063
136.999,30.705
136.379,30.355
135.755,30.016
135.126,29.686
134.493,29.367
133.855,29.058
133.212,28.759
132.566,28.470
131.915,28.190
131.261,27.918
130.603,27.656
129.942,27.403
129.278,27.157
128.611,26.920
127.942,26.690
127.270,26.468
126.595,26.253
125.919,26.045
125.241,25.843
124.561,25.649
123.880,25.460
123.197,25.277
122.514,25.099
121.829,24.928
121.144,24.761
120.459,24.599
119.773,24.441
119.088,24.288
118.402,24.139
117.717,23.993
117.033,23.851
116.350,23.713
115.667,23.578
114.986,23.446
114.306,23.318
113.628,23.194
112.951,23.073
112.276,22.955
111.604,22.841
110.934,22.730
110.266,22.623
109.601,22.519
108.939,22.419
108.280,22.322
107.625,22.228
106.972,22.138
106.324,22.051
105.679,21.968
105.039,21.888
104.402,21.812
103.770,21.739
103.143,21.669
102.520,21.602
101.902,21.539
101.290,21.480
100.683,21.424
100.080,21.370
99.483,21.320
98.890,21.273
98.301,21.228
97.716,21.186
97.135,21.146
96.557,21.109
95.983,21.073
95.411,21.040
94.842,21.008
94.276,20.978
93.712,20.949
93.150,20.921
92.589,20.895
92.031,20.869
91.473,20.844
90.916,20.820
90.361,20.797
89.805,20.773
89.250,20.750
