X,Y
32.500,117.500
33.095,118.630
33.691,119.760
34.287,120.889
34.885,122.015
35.486,123.140
36.089,124.261
36.695,125.379
37.304,126.493
37.919,127.601
38.537,128.705
39.161,129.802
39.791,130.893
40.428,131.977
41.071,133.053
41.722,134.120
42.380,135.179
43.047,136.228
43.723,137.266
44.409,138.294
45.104,139.311
45.810,140.315
46.528,141.307
47.257,142.286
47.998,143.251
48.752,144.202
49.519,145.138
50.300,146.058
51.095,146.962
51.905,147.849
52.730,148.719
53.571,149.571
54.429,150.404
55.303,151.220
56.192,152.018
57.098,152.799
58.019,153.563
58.956,154.310
59.908,155.042
60.876,155.759
61.858,156.460
62.856,157.147
63.868,157.820
64.895,158.479
65.936,159.125
66.992,159.758
68.061,160.379
69.145,160.988
70.242,161.585
71.354,162.171
72.478,162.747
73.616,163.312
74.767,163.868
75.931,164.415
77.108,164.952
78.297,165.481
79.499,166.003
80.713,166.516
81.940,167.023
83.178,167.523
84.429,168.016
85.691,168.504
86.964,168.987
88.250,169.464
89.546,169.937
90.853,170.405
92.170,170.868
93.497,171.328
94.835,171.783
96.182,172.233
97.538,172.680
98.903,173.123
100.277,173.562
101.659,173.998
103.049,174.430
104.446,174.859
105.851,175.285
107.264,175.707
108.683,176.127
110.108,176.544
111.540,176.958
112.977,177.370
114.420,177.779
115.868,178.186
117.321,178.591
118.779,178.994
120.241,179.395
121.707,179.794
123.177,180.192
124.650,180.588
126.126,180.983
127.605,181.377
129.087,181.770
130.570,182.162
132.056,182.552
133.543,182.943
135.031,183.333
136.520,183.722
138.010,184.111
139.500,184.500
