X,Y
67.000,95.148
67.700,94.133
68.399,93.115
69.095,92.090
69.788,91.055
70.475,90.006
71.156,88.941
71.829,87.855
72.494,86.746
73.148,85.610
73.791,84.443
74.421,83.243
75.038,82.006
75.639,80.729
76.223,79.408
76.790,78.040
77.342,76.629
77.882,75.181
78.413,73.700
78.938,72.192
79.462,70.662
79.987,69.117
80.516,67.561
81.054,66.000
81.602,64.440
82.166,62.886
82.747,61.343
83.349,59.816
83.976,58.313
84.631,56.837
85.317,55.394
86.038,53.990
86.796,52.631
87.593,51.320
88.426,50.061
89.292,48.857
90.187,47.711
91.109,46.626
92.054,45.605
93.021,44.651
94.005,43.767
95.003,42.957
96.014,42.222
97.033,41.568
98.058,40.995
99.085,40.508
100.112,40.109
101.136,39.800
102.158,39.575
103.179,39.429
104.198,39.354
105.216,39.346
106.234,39.397
107.252,39.502
108.271,39.654
109.292,39.848
110.315,40.077
111.341,40.335
112.370,40.617
113.403,40.922
114.441,41.248
115.485,41.597
116.536,41.966
117.595,42.356
118.663,42.767
119.741,43.197
120.830,43.646
121.930,44.115
123.044,44.602
124.170,45.107
125.312,45.630
126.468,46.168
127.639,46.717
128.824,47.272
130.023,47.831
131.235,48.388
132.461,48.940
133.699,49.483
134.950,50.012
136.213,50.524
137.488,51.014
138.775,51.478
140.073,51.912
141.382,52.313
142.701,52.676
144.030,52.997
145.369,53.280
146.717,53.526
148.073,53.739
149.436,53.921
150.807,54.075
152.183,54.204
153.565,54.311
154.952,54.398
156.342,54.468
157.736,54.525
159.133,54.570
160.532,54.607
161.932,54.638
163.333,54.667
