Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0093-0029,Point,29,93,1,1,1,none,none,0,0,0,0,0
1,0101-0239,Point,239,101,2,1,1,none,none,0,0,0,0,0
