X,Y
220.667,110.667
219.920,111.081
219.172,111.495
218.425,111.909
217.677,112.322
216.928,112.733
216.179,113.144
215.429,113.553
214.678,113.961
213.925,114.366
213.171,114.769
212.416,115.170
211.659,115.568
210.900,115.963
210.140,116.354
209.377,116.743
208.612,117.127
207.844,117.508
207.074,117.884
206.301,118.256
205.526,118.623
204.747,118.985
203.965,119.342
203.180,119.693
202.392,120.039
201.599,120.379
200.803,120.712
200.004,121.039
199.200,121.359
198.392,121.673
197.579,121.979
196.762,122.277
195.940,122.568
195.114,122.851
194.282,123.126
193.446,123.392
192.605,123.651
191.760,123.901
190.910,124.144
190.057,124.379
189.200,124.607
188.340,124.827
187.477,125.040
186.611,125.247
185.743,125.447
184.873,125.640
184.001,125.827
183.128,126.008
182.253,126.182
181.377,126.351
180.500,126.514
179.623,126.672
178.746,126.824
177.869,126.971
176.992,127.113
176.116,127.251
175.241,127.383
174.367,127.512
173.494,127.635
172.624,127.755
171.755,127.871
170.889,127.983
170.025,128.091
169.165,128.196
168.307,128.298
167.453,128.397
166.603,128.492
165.756,128.585
164.914,128.676
164.077,128.764
163.244,128.849
162.415,128.933
161.590,129.014
160.769,129.093
159.952,129.170
159.139,129.245
158.329,129.318
157.522,129.390
156.719,129.460
155.919,129.528
155.121,129.594
154.327,129.659
153.535,129.723
152.745,129.785
151.958,129.847
151.173,129.906
150.391,129.965
149.610,130.023
148.830,130.080
148.053,130.136
147.277,130.191
146.502,130.246
145.728,130.300
144.956,130.353
144.184,130.406
143.413,130.459
142.643,130.511
141.873,130.563
141.103,130.615
140.333,130.667
