X,Y
0,4208.617
1,4230.719
2,4251.018
3,4263.752
4,4279.746
5,4288.615
6,4299.997
7,4313.212
8,4324.936
9,4340.979
10,4363.288
11,4379.185
12,4382.467
13,4383.786
14,4380.357
15,4369.800
16,4360.394
17,4362.978
18,4375.415
19,4389.902
20,4394.266
21,4394.569
22,4393.017
23,4392.805
24,4397.747
25,4410.197
26,4423.692
27,4420.158
28,4417.884
29,4420.011
30,4415.438
31,4418.713
32,4411.804
33,4413.051
34,4404.631
35,4402.515
36,4408.860
37,4416.196
38,4427.589
39,4444.997
40,4452.004
41,4454.974
42,4450.627
43,4450.096
44,4453.268
45,4452.641
46,4466.476
47,4469.385
48,4472.283
49,4479.337
50,4478.547
51,4486.700
52,4499.188
53,4502.936
54,4499.676
55,4502.008
56,4508.370
57,4522.450
58,4526.548
59,4520.314
60,4516.778
61,4516.863
62,4522.006
63,4536.125
64,4531.010
65,4531.706
66,4533.595
67,4530.607
68,4522.077
69,4499.846
70,4490.067
71,4483.466
72,4476.305
73,4478.796
74,4470.483
75,4470.336
76,4460.867
77,4453.811
78,4442.942
79,4429.688
80,4408.674
81,4387.636
82,4364.271
83,4353.360
84,4340.457
85,4328.335
86,4315.697
87,4303.519
88,4288.252
89,4269.577
90,4261.242
91,4241.602
