X,Y
59.000,97.026
59.349,95.886
59.695,94.747
60.036,93.610
60.369,92.473
60.693,91.339
61.004,90.207
61.300,89.077
61.579,87.952
61.837,86.830
62.074,85.713
62.285,84.601
62.469,83.494
62.622,82.394
62.744,81.299
62.836,80.210
62.906,79.125
62.958,78.042
62.999,76.959
63.035,75.874
63.072,74.785
63.116,73.692
63.174,72.591
63.250,71.482
63.353,70.362
63.486,69.229
63.657,68.083
63.871,66.922
64.127,65.754
64.426,64.589
64.766,63.436
65.147,62.304
65.566,61.203
66.025,60.143
66.521,59.132
67.054,58.181
67.623,57.299
68.227,56.495
68.866,55.778
69.537,55.159
70.241,54.640
70.976,54.213
71.740,53.868
72.533,53.597
73.352,53.390
74.197,53.237
75.066,53.130
75.958,53.059
76.871,53.015
77.804,52.989
78.756,52.976
79.724,52.979
80.708,53.000
81.704,53.038
82.711,53.098
83.728,53.179
84.752,53.284
85.781,53.415
86.815,53.572
87.850,53.758
88.886,53.974
89.919,54.222
90.951,54.496
91.980,54.793
93.006,55.107
94.028,55.433
95.047,55.765
96.061,56.098
97.071,56.427
98.075,56.747
99.074,57.052
100.068,57.338
101.055,57.598
102.035,57.829
103.011,58.028
103.987,58.199
104.964,58.342
105.947,58.460
106.939,58.553
107.943,58.623
108.963,58.673
110.002,58.703
111.063,58.716
112.149,58.712
113.265,58.694
114.411,58.663
115.588,58.620
116.794,58.566
118.025,58.501
119.280,58.427
120.557,58.345
121.853,58.255
123.167,58.158
124.496,58.055
125.838,57.947
127.191,57.834
128.552,57.719
129.920,57.600
131.292,57.480
132.667,57.359
