Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0040-0126,Point,126,40,1,1,1,none,none,0,0,0,0,0
1,0033-0126,Point,126,33,1,1,1,none,none,0,0,0,0,0
