Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0275-0271,Point,271,275,1,1,1,none,none,0,0,0,0,0
1,0268-0269,Point,269,268,1,1,1,none,none,0,0,0,0,0
