X,Y
25.000,65.250
25.510,65.708
26.019,66.165
26.528,66.622
27.037,67.078
27.545,67.533
28.052,67.987
28.559,68.440
29.064,68.891
29.568,69.340
30.071,69.786
30.572,70.231
31.072,70.672
31.570,71.111
32.066,71.547
32.560,71.979
33.052,72.408
33.541,72.832
34.028,73.253
34.512,73.669
34.993,74.081
35.472,74.488
35.947,74.890
36.419,75.286
36.888,75.677
37.352,76.063
37.814,76.442
38.271,76.815
38.724,77.181
39.174,77.541
39.620,77.894
40.063,78.242
40.503,78.583
40.941,78.919
41.377,79.249
41.811,79.574
42.244,79.893
42.676,80.208
43.108,80.518
43.540,80.823
43.972,81.124
44.405,81.421
44.839,81.715
45.275,82.004
45.712,82.290
46.152,82.572
46.595,82.851
47.040,83.128
47.490,83.402
47.943,83.673
48.400,83.942
48.862,84.208
49.328,84.473
49.799,84.736
50.274,84.996
50.754,85.255
51.238,85.511
51.726,85.765
52.218,86.017
52.713,86.267
53.213,86.515
53.716,86.761
54.223,87.005
54.733,87.246
55.246,87.486
55.762,87.723
56.282,87.959
56.805,88.192
57.330,88.423
57.858,88.652
58.389,88.879
58.922,89.103
59.458,89.326
59.996,89.546
60.536,89.764
61.078,89.981
61.623,90.195
62.169,90.407
62.717,90.617
63.267,90.826
63.818,91.032
64.371,91.238
64.925,91.441
65.481,91.643
66.039,91.844
66.597,92.044
67.157,92.242
67.717,92.439
68.279,92.635
68.842,92.830
69.405,93.025
69.969,93.218
70.534,93.411
71.100,93.604
71.666,93.796
72.232,93.987
72.799,94.178
73.366,94.369
73.933,94.559
74.500,94.750
