X,Y
0,4617.325
1,4648.711
2,4685.922
3,4722.816
4,4758.197
5,4798.230
6,4837.280
7,4879.376
8,4922.733
9,4963.582
10,4991.309
11,5010.821
12,5018.974
13,5039.400
14,5066.542
15,5096.396
16,5128.165
17,5153.322
18,5185.770
19,5217.391
20,5236.269
21,5249.349
22,5271.149
23,5299.841
24,5317.836
25,5340.640
26,5352.311
27,5356.065
28,5372.065
29,5382.092
30,5385.962
31,5394.647
32,5401.113
33,5404.015
34,5402.956
35,5406.659
36,5403.857
37,5399.155
38,5399.507
39,5388.832
40,5386.959
41,5376.375
42,5356.968
43,5340.401
44,5329.547
45,5311.141
46,5278.437
47,5229.799
48,5185.318
49,5139.508
50,5097.514
51,5063.880
52,5037.655
53,5006.467
54,4975.598
55,4945.216
56,4925.587
57,4901.659
58,4889.649
59,4874.959
60,4863.810
61,4852.798
62,4845.656
63,4845.801
64,4867.954
65,4883.865
66,4900.407
67,4924.292
68,4959.108
69,4995.502
70,5037.732
71,5073.231
72,5106.911
73,5149.938
74,5194.212
75,5236.355
76,5286.533
77,5332.951
78,5375.462
79,5418.730
80,5459.437
81,5497.331
82,5526.436
83,5560.857
84,5592.082
85,5609.660
86,5622.646
87,5634.904
88,5641.265
89,5635.129
90,5636.093
91,5623.657
92,5618.929
93,5610.634
94,5601.223
95,5585.974
96,5566.626
97,5557.662
98,5534.773
99,5512.028
100,5490.217
101,5457.151
102,5418.289
103,5381.691
104,5344.737
105,5307.368
106,5270.573
107,5227.131
108,5187.584
109,5153.387
110,5122.973
111,5079.651
112,5045.616
113,5001.639
114,4955.497
115,4909.685
116,4854.224
117,4792.535
118,4742.265
