 ,Area,Mean,Min,Max,X,Y,Perim.
1,63,6381.546,6126.884,6716.790,252.500,309.500,32
2,63,6053.297,5880.700,6260.129,265.500,306.500,32
3,63,5854.414,5529.993,6211.119,249.500,207.500,32
4,63,5378.307,5088.556,5660.664,265.500,207.500,32
