 ,Area,Mean,Min,Max,X,Y,Perim.
1,143,3698.317,3642.731,3740.514,207.500,285.500,48
2,143,3709.135,3652.784,3826.836,213.500,207.500,48
3,143,3631.409,3584.260,3698.220,332.500,183.500,48
4,143,3656.343,3608.466,3705.634,342.500,377.500,48
