 ,Area,Mean,Min,Max,X,Y,Perim.
1,54,4629.207,4283.725,4912.948,265,312.500,30
2,54,4506.784,4312.220,4753.596,288,314.500,30
3,54,4518.955,4357.994,4726.346,283,231.500,30
4,54,4614.495,4486.148,4836.042,271,231.500,30
