 ,Area,Mean,Min,Max,X,Y,Perim.
1,110,3733.204,3692.372,3790.876,418.000,164.500,42
2,110,3765.558,3708.228,3818.695,410.500,216.000,42
3,132,3758.767,3699.704,3837.923,119.500,250.000,46
4,120,3778.870,3728.048,3858.594,215.000,393.000,44
