X,Y
20.500,40.000
20.950,39.730
21.401,39.460
21.851,39.190
22.301,38.921
22.751,38.652
23.201,38.384
23.651,38.118
24.100,37.852
24.549,37.587
24.998,37.325
25.446,37.063
25.894,36.804
26.341,36.546
26.788,36.291
27.234,36.038
27.679,35.787
28.124,35.539
28.569,35.293
29.012,35.051
29.455,34.811
29.897,34.575
30.338,34.343
30.778,34.113
31.217,33.888
31.656,33.666
32.093,33.449
32.529,33.236
32.964,33.027
33.399,32.822
33.831,32.622
34.263,32.425
34.694,32.233
35.123,32.045
35.551,31.860
35.977,31.679
36.403,31.502
36.827,31.328
37.249,31.158
37.670,30.991
38.090,30.827
38.508,30.667
38.924,30.510
39.339,30.355
39.753,30.204
40.164,30.055
40.574,29.909
40.983,29.766
41.389,29.625
41.794,29.487
42.197,29.351
42.599,29.217
42.998,29.086
43.396,28.956
43.793,28.828
44.189,28.702
44.584,28.578
44.979,28.454
45.374,28.332
45.769,28.210
46.165,28.089
46.562,27.969
46.959,27.849
47.359,27.730
47.759,27.610
48.162,27.490
48.567,27.370
48.975,27.249
49.385,27.127
49.799,27.005
50.216,26.881
50.637,26.757
51.062,26.630
51.491,26.503
51.925,26.373
52.363,26.242
52.806,26.109
53.252,25.974
53.703,25.838
54.157,25.700
54.615,25.562
55.076,25.421
55.540,25.280
56.007,25.137
56.477,24.993
56.950,24.848
57.426,24.703
57.903,24.556
58.383,24.408
58.865,24.260
59.348,24.111
59.833,23.961
60.320,23.811
60.807,23.660
61.296,23.509
61.786,23.358
62.276,23.206
62.767,23.054
63.259,22.902
63.750,22.750
