X,Y
25.000,59.000
25.438,59.690
25.876,60.379
26.316,61.067
26.757,61.753
27.200,62.438
27.646,63.119
28.095,63.797
28.548,64.471
29.005,65.141
29.467,65.806
29.935,66.465
30.408,67.118
30.888,67.765
31.375,68.404
31.870,69.035
32.372,69.658
32.883,70.273
33.404,70.878
33.934,71.472
34.474,72.057
35.025,72.630
35.588,73.192
36.162,73.741
36.749,74.277
37.348,74.801
37.961,75.311
38.586,75.807
39.223,76.291
39.872,76.763
40.533,77.221
41.205,77.668
41.887,78.103
42.579,78.526
43.282,78.938
43.994,79.338
44.715,79.728
45.445,80.107
46.184,80.476
46.930,80.834
47.684,81.183
48.445,81.522
49.214,81.852
49.988,82.172
50.769,82.484
51.556,82.787
52.347,83.082
53.144,83.368
53.946,83.647
54.751,83.918
55.561,84.182
56.374,84.438
57.190,84.688
58.010,84.930
58.832,85.166
59.656,85.395
60.482,85.617
61.311,85.833
62.141,86.042
62.972,86.246
63.804,86.443
64.637,86.634
65.470,86.819
66.303,86.998
67.137,87.172
67.969,87.340
68.801,87.503
69.633,87.661
70.462,87.813
71.291,87.960
72.117,88.103
72.941,88.240
73.763,88.373
74.583,88.501
75.399,88.625
76.212,88.744
77.021,88.860
77.827,88.971
78.630,89.078
79.430,89.182
80.227,89.282
81.021,89.379
81.812,89.472
82.601,89.563
83.387,89.651
84.172,89.736
84.954,89.819
85.734,89.899
86.512,89.978
87.289,90.054
88.064,90.129
88.838,90.202
89.611,90.273
90.383,90.344
91.154,90.413
91.924,90.481
92.693,90.549
93.463,90.616
94.231,90.683
95.000,90.750
