Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0049-0017,Point,17,49,1,1,1,none,none,0,0,0,0,0
1,0040-0177,Point,177,40,0,0,1,none,none,0,0,0,0,0
