X,Y
28.000,54.000
28.452,54.354
28.905,54.708
29.359,55.061
29.815,55.413
30.273,55.764
30.733,56.114
31.197,56.461
31.664,56.807
32.135,57.151
32.612,57.492
33.093,57.830
33.581,58.165
34.074,58.496
34.575,58.823
35.083,59.147
35.599,59.466
36.123,59.780
36.657,60.090
37.199,60.394
37.751,60.693
38.312,60.985
38.882,61.270
39.460,61.549
40.047,61.820
40.642,62.082
41.246,62.337
41.857,62.582
42.477,62.818
43.104,63.043
43.738,63.259
44.380,63.463
45.030,63.656
45.686,63.838
46.349,64.007
47.019,64.163
47.696,64.306
48.378,64.436
49.068,64.551
49.763,64.653
50.463,64.741
51.169,64.816
51.879,64.879
52.594,64.931
53.313,64.972
54.035,65.003
54.760,65.025
55.487,65.038
56.217,65.043
56.948,65.040
57.681,65.031
58.414,65.016
59.148,64.996
59.882,64.971
60.616,64.943
61.348,64.910
62.080,64.876
62.809,64.839
63.537,64.801
64.262,64.763
64.984,64.724
65.703,64.686
66.419,64.648
67.132,64.609
67.841,64.571
68.547,64.531
69.249,64.491
69.948,64.450
70.644,64.408
71.336,64.365
72.024,64.321
72.709,64.274
73.390,64.226
74.067,64.176
74.741,64.124
75.411,64.069
76.076,64.012
76.738,63.953
77.396,63.890
78.050,63.824
78.699,63.756
79.345,63.683
79.986,63.608
80.624,63.529
81.259,63.448
81.890,63.363
82.517,63.277
83.142,63.187
83.765,63.096
84.385,63.003
85.003,62.908
85.618,62.811
86.232,62.713
86.845,62.613
87.456,62.513
88.066,62.411
88.675,62.309
89.284,62.206
89.892,62.103
90.500,62.000
