Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0051-0135,Point,135,51,1,1,1,none,none,0,0,0,0,0
1,0042-0136,Point,136,42,1,1,1,none,none,0,0,0,0,0
