Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0120-0037,Point,37,120,1,1,1,none,none,0,0,0,0,0
1,0131-0287,Point,287,131,1,1,1,none,none,0,0,0,0,0
