X,Y
53.000,121.500
53.652,121.645
54.304,121.790
54.956,121.935
55.609,122.079
56.262,122.223
56.917,122.366
57.572,122.508
58.228,122.650
58.886,122.790
59.545,122.929
60.205,123.067
60.868,123.204
61.532,123.339
62.198,123.472
62.867,123.603
63.538,123.733
64.211,123.860
64.888,123.985
65.567,124.108
66.249,124.228
66.934,124.346
67.623,124.460
68.315,124.572
69.011,124.681
69.710,124.787
70.414,124.890
71.122,124.989
71.834,125.084
72.550,125.176
73.271,125.264
73.997,125.348
74.728,125.429
75.464,125.504
76.205,125.576
76.952,125.643
77.704,125.706
78.462,125.764
79.226,125.817
79.996,125.865
80.772,125.908
81.555,125.945
82.344,125.977
83.139,126.004
83.942,126.025
84.751,126.041
85.567,126.052
86.389,126.057
87.217,126.056
88.052,126.051
88.893,126.041
89.739,126.026
90.592,126.006
91.450,125.981
92.314,125.952
93.183,125.918
94.058,125.880
94.938,125.838
95.823,125.791
96.713,125.740
97.608,125.686
98.507,125.627
99.411,125.565
100.320,125.498
101.233,125.429
102.150,125.356
103.072,125.279
103.997,125.199
104.926,125.116
105.859,125.030
106.796,124.941
107.736,124.849
108.680,124.754
109.627,124.656
110.577,124.556
111.530,124.453
112.486,124.348
113.445,124.241
114.406,124.131
115.371,124.020
116.337,123.906
117.306,123.791
118.277,123.673
119.250,123.554
120.225,123.434
121.202,123.311
122.180,123.188
123.160,123.063
124.142,122.937
125.125,122.810
126.109,122.682
127.094,122.553
128.080,122.423
129.067,122.292
130.055,122.161
131.043,122.030
132.032,121.897
133.021,121.765
134.010,121.633
135.000,121.500
