X,Y
154.000,45.000
153.587,44.446
153.173,43.893
152.758,43.340
152.342,42.789
151.924,42.240
151.505,41.693
151.083,41.149
150.658,40.608
150.229,40.071
149.797,39.538
149.361,39.009
148.921,38.486
148.475,37.968
148.024,37.456
147.568,36.951
147.105,36.452
146.635,35.961
146.159,35.478
145.675,35.003
145.183,34.537
144.684,34.080
144.175,33.633
143.657,33.196
143.130,32.769
142.593,32.354
142.047,31.949
141.491,31.556
140.926,31.173
140.353,30.801
139.772,30.438
139.184,30.086
138.588,29.744
137.985,29.412
137.376,29.089
136.760,28.775
136.140,28.471
135.514,28.175
134.883,27.888
134.248,27.610
133.609,27.340
132.966,27.078
132.320,26.825
131.672,26.579
131.021,26.340
130.368,26.109
129.714,25.886
129.059,25.669
128.403,25.459
127.747,25.256
127.090,25.059
126.434,24.868
125.777,24.684
125.119,24.506
124.461,24.333
123.802,24.167
123.142,24.006
122.481,23.850
121.819,23.700
121.155,23.555
120.490,23.415
119.823,23.281
119.155,23.150
118.484,23.025
117.812,22.904
117.137,22.788
116.460,22.675
115.780,22.567
115.098,22.463
114.413,22.363
113.725,22.266
113.033,22.173
112.339,22.083
111.641,21.997
110.940,21.914
110.235,21.833
109.528,21.756
108.817,21.682
108.103,21.610
107.386,21.540
106.667,21.473
105.945,21.409
105.221,21.346
104.494,21.286
103.765,21.227
103.034,21.171
102.302,21.116
101.567,21.062
100.831,21.010
100.094,20.960
99.355,20.910
98.615,20.862
97.874,20.815
97.132,20.768
96.389,20.722
95.645,20.677
94.901,20.632
94.156,20.588
93.412,20.544
92.667,20.500
