X,Y
29.000,79.000
29.462,79.322
29.925,79.643
30.388,79.964
30.851,80.285
31.315,80.605
31.780,80.925
32.246,81.243
32.714,81.560
33.182,81.877
33.653,82.192
34.125,82.505
34.599,82.817
35.075,83.127
35.554,83.435
36.035,83.741
36.519,84.045
37.005,84.347
37.495,84.645
37.988,84.942
38.484,85.235
38.984,85.526
39.487,85.813
39.995,86.097
40.506,86.378
41.022,86.655
41.543,86.929
42.067,87.198
42.597,87.464
43.132,87.725
43.672,87.982
44.217,88.235
44.768,88.483
45.324,88.727
45.886,88.966
46.452,89.201
47.023,89.431
47.599,89.657
48.179,89.879
48.763,90.096
49.352,90.309
49.944,90.519
50.540,90.724
51.139,90.925
51.742,91.123
52.347,91.316
52.956,91.506
53.567,91.692
54.181,91.874
54.797,92.052
55.415,92.227
56.036,92.399
56.657,92.567
57.281,92.732
57.906,92.893
58.532,93.051
59.159,93.206
59.787,93.357
60.415,93.506
61.044,93.651
61.673,93.794
62.302,93.933
62.931,94.070
63.559,94.203
64.187,94.334
64.815,94.463
65.441,94.588
66.067,94.711
66.691,94.832
67.315,94.950
67.937,95.065
68.559,95.179
69.180,95.290
69.801,95.399
70.420,95.506
71.039,95.611
71.657,95.715
72.275,95.816
72.892,95.916
73.508,96.014
74.124,96.110
74.739,96.205
75.353,96.299
75.967,96.391
76.581,96.482
77.194,96.572
77.807,96.661
78.420,96.748
79.032,96.835
79.643,96.921
80.255,97.006
80.866,97.091
81.477,97.174
82.088,97.258
82.699,97.340
83.309,97.423
83.919,97.505
84.530,97.587
85.140,97.668
85.750,97.750
