Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0070-0022,Point,22,70,1,1,1,none,none,0,0,0,0,0
1,0061-0161,Point,161,61,1,1,1,none,none,0,0,0,0,0
