X,Y
47.333,105.667
47.415,104.306
47.497,102.944
47.577,101.579
47.656,100.209
47.733,98.832
47.807,97.448
47.879,96.054
47.947,94.648
48.012,93.231
48.072,91.798
48.127,90.350
48.177,88.885
48.221,87.400
48.259,85.894
48.290,84.367
48.314,82.815
48.330,81.238
48.338,79.634
48.341,78.007
48.344,76.363
48.354,74.708
48.374,73.049
48.411,71.393
48.470,69.746
48.556,68.114
48.675,66.505
48.832,64.924
49.033,63.377
49.282,61.873
49.585,60.416
49.948,59.014
50.376,57.673
50.874,56.399
51.448,55.199
52.103,54.080
52.844,53.047
53.671,52.103
54.578,51.241
55.559,50.456
56.607,49.742
57.715,49.095
58.878,48.509
60.089,47.977
61.340,47.496
62.627,47.059
63.942,46.660
65.279,46.295
66.631,45.958
67.993,45.643
69.357,45.345
70.717,45.059
72.067,44.779
73.406,44.503
74.733,44.232
76.048,43.965
77.352,43.701
78.645,43.440
79.926,43.183
81.196,42.927
82.455,42.675
83.702,42.424
84.938,42.174
86.164,41.926
87.378,41.679
88.581,41.432
89.773,41.186
90.955,40.940
92.126,40.692
93.289,40.442
94.445,40.187
95.597,39.925
96.745,39.655
97.893,39.373
99.042,39.078
100.194,38.769
101.350,38.442
102.513,38.096
103.685,37.730
104.867,37.340
106.061,36.925
107.270,36.483
108.494,36.013
109.735,35.513
110.991,34.987
112.261,34.435
113.544,33.860
114.839,33.262
116.146,32.645
117.463,32.009
118.790,31.356
120.125,30.688
121.468,30.007
122.817,29.313
124.173,28.610
125.532,27.898
126.896,27.179
128.262,26.456
129.631,25.729
131.000,25.000
