X,Y
150.333,73.333
149.961,73.626
149.588,73.919
149.214,74.212
148.839,74.504
148.463,74.796
148.086,75.088
147.706,75.379
147.324,75.669
146.939,75.959
146.552,76.248
146.161,76.536
145.766,76.823
145.368,77.109
144.965,77.394
144.557,77.678
144.145,77.960
143.727,78.241
143.304,78.521
142.874,78.799
142.439,79.075
141.996,79.350
141.547,79.622
141.091,79.893
140.628,80.162
140.159,80.429
139.684,80.693
139.204,80.956
138.719,81.215
138.229,81.473
137.735,81.727
137.238,81.979
136.736,82.228
136.232,82.475
135.725,82.718
135.216,82.958
134.705,83.195
134.193,83.429
133.680,83.659
133.166,83.886
132.651,84.109
132.137,84.328
131.623,84.544
131.110,84.756
130.599,84.963
130.089,85.167
129.581,85.367
129.076,85.562
128.573,85.753
128.071,85.940
127.570,86.124
127.069,86.304
126.569,86.481
126.069,86.654
125.568,86.825
125.066,86.993
124.562,87.158
124.056,87.320
123.548,87.480
123.037,87.639
122.523,87.795
122.005,87.949
121.483,88.102
120.957,88.253
120.425,88.403
119.888,88.552
119.345,88.700
118.796,88.847
118.241,88.994
117.678,89.140
117.107,89.286
116.529,89.432
115.943,89.578
115.350,89.724
114.749,89.870
114.142,90.016
113.529,90.161
112.909,90.307
112.284,90.453
111.652,90.598
111.016,90.744
110.374,90.889
109.727,91.034
109.076,91.180
108.420,91.325
107.760,91.470
107.097,91.615
106.430,91.760
105.759,91.905
105.086,92.050
104.410,92.195
103.732,92.340
103.051,92.485
102.369,92.630
101.685,92.775
101.000,92.920
100.313,93.065
99.626,93.210
98.938,93.355
98.250,93.500
