Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0055-0020,Point,20,55,1,1,1,none,none,0,0,0,0,0
1,0065-0158,Point,158,65,1,1,1,none,none,0,0,0,0,0
