Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0054-0024,Point,24,54,1,1,1,none,none,0,0,0,0,0
1,0051-0185,Point,185,51,1,1,1,none,none,0,0,0,0,0
