X,Y
49.667,64.333
49.619,63.355
49.571,62.375
49.520,61.391
49.465,60.401
49.405,59.403
49.338,58.396
49.264,57.379
49.189,56.357
49.118,55.337
49.059,54.327
49.017,53.334
49.000,52.364
49.014,51.426
49.067,50.525
49.170,49.668
49.331,48.860
49.559,48.107
49.863,47.416
50.237,46.786
50.667,46.212
51.136,45.690
51.630,45.214
52.144,44.788
52.695,44.427
53.301,44.149
53.980,43.973
54.736,43.907
55.535,43.949
56.338,44.092
57.106,44.330
57.802,44.657
58.421,45.064
58.996,45.541
59.562,46.076
60.153,46.658
60.801,47.276
61.503,47.918
62.238,48.569
62.984,49.215
63.720,49.842
64.422,50.435
65.076,50.984
65.690,51.498
66.285,51.995
66.881,52.489
67.499,52.999
68.153,53.536
68.837,54.098
69.542,54.678
70.256,55.268
70.969,55.861
71.671,56.452
72.356,57.034
73.025,57.608
73.679,58.171
74.317,58.722
74.941,59.259
75.554,59.784
76.165,60.304
76.786,60.827
77.427,61.361
78.098,61.914
78.806,62.490
79.544,63.079
80.302,63.672
81.072,64.256
81.843,64.821
82.608,65.355
83.361,65.857
84.106,66.330
84.847,66.784
85.585,67.226
86.326,67.662
87.071,68.099
87.820,68.538
88.572,68.977
89.326,69.416
90.082,69.855
90.839,70.292
91.597,70.727
92.361,71.160
93.132,71.591
93.915,72.020
94.712,72.445
95.520,72.865
96.329,73.272
97.125,73.655
97.896,74.007
98.629,74.318
99.318,74.584
99.980,74.815
100.645,75.028
101.338,75.236
102.086,75.457
102.895,75.695
103.753,75.946
104.648,76.208
105.568,76.477
106.500,76.750
