X,Y
93.250,73.250
93.725,72.565
94.202,71.882
94.682,71.203
95.167,70.531
95.660,69.868
96.161,69.216
96.672,68.576
97.196,67.952
97.733,67.346
98.286,66.759
98.856,66.193
99.446,65.652
100.056,65.137
100.689,64.651
101.345,64.195
102.023,63.771
102.720,63.384
103.435,63.034
104.164,62.724
104.906,62.457
105.659,62.235
106.419,62.061
107.185,61.936
107.954,61.864
108.725,61.847
109.494,61.887
110.259,61.987
111.019,62.148
111.773,62.369
112.520,62.646
113.261,62.977
113.994,63.357
114.721,63.785
115.440,64.257
116.152,64.771
116.857,65.322
117.553,65.908
118.241,66.525
118.921,67.172
119.593,67.844
120.256,68.538
120.910,69.252
121.555,69.983
122.191,70.727
122.818,71.484
123.436,72.250
124.043,73.023
124.642,73.802
125.230,74.583
125.809,75.365
126.378,76.145
126.937,76.922
127.486,77.692
128.024,78.453
128.553,79.204
129.070,79.942
129.577,80.664
130.074,81.369
130.560,82.054
131.036,82.720
131.503,83.370
131.964,84.004
132.420,84.625
132.871,85.234
133.319,85.833
133.766,86.425
134.212,87.010
134.660,87.591
135.111,88.169
135.566,88.746
136.026,89.325
136.493,89.906
136.968,90.490
137.450,91.076
137.940,91.664
138.437,92.253
138.944,92.842
139.458,93.430
139.982,94.017
140.514,94.603
141.055,95.186
141.606,95.765
142.167,96.341
142.737,96.913
143.317,97.479
143.908,98.039
144.507,98.595
145.115,99.145
145.731,99.692
146.354,100.234
146.984,100.773
147.619,101.308
148.260,101.841
148.904,102.371
149.552,102.899
150.203,103.426
150.857,103.951
151.511,104.476
152.167,105.000
