X,Y
49.500,75.500
49.453,74.664
49.408,73.830
49.366,72.999
49.329,72.173
49.298,71.355
49.274,70.546
49.259,69.747
49.255,68.961
49.263,68.189
49.284,67.433
49.321,66.694
49.374,65.976
49.448,65.277
49.548,64.599
49.677,63.941
49.842,63.304
50.046,62.688
50.295,62.092
50.594,61.518
50.946,60.964
51.357,60.432
51.827,59.924
52.349,59.443
52.918,58.995
53.526,58.583
54.167,58.212
54.835,57.887
55.524,57.612
56.227,57.391
56.938,57.229
57.650,57.131
58.360,57.097
59.068,57.126
59.773,57.215
60.476,57.362
61.176,57.565
61.872,57.821
62.566,58.129
63.256,58.485
63.943,58.888
64.626,59.336
65.305,59.825
65.981,60.350
66.652,60.907
67.320,61.491
67.984,62.097
68.644,62.719
69.300,63.354
69.953,63.995
70.602,64.639
71.246,65.280
71.887,65.913
72.524,66.533
73.157,67.136
73.788,67.721
74.417,68.287
75.045,68.837
75.676,69.371
76.309,69.890
76.947,70.396
77.590,70.888
78.241,71.369
78.901,71.840
79.571,72.300
80.253,72.752
80.948,73.196
81.655,73.631
82.371,74.058
83.096,74.474
83.828,74.879
84.566,75.274
85.307,75.656
86.050,76.025
86.794,76.381
87.536,76.722
88.277,77.049
89.013,77.359
89.744,77.654
90.473,77.933
91.199,78.197
91.925,78.447
92.653,78.682
93.383,78.904
94.117,79.113
94.856,79.309
95.603,79.493
96.357,79.665
97.122,79.827
97.897,79.978
98.681,80.120
99.473,80.253
100.273,80.378
101.079,80.497
101.891,80.610
102.707,80.719
103.527,80.824
104.350,80.926
105.174,81.026
106.000,81.125
