Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0058-0021,Point,21,58,1,1,1,none,none,0,0,0,0,0
1,0058-0166,Point,166,58,1,1,1,none,none,0,0,0,0,0
