X,Y
18.500,43.750
18.823,43.413
19.147,43.076
19.472,42.740
19.797,42.405
20.125,42.070
20.454,41.737
20.786,41.405
21.121,41.075
21.460,40.746
21.802,40.420
22.148,40.097
22.499,39.776
22.854,39.458
23.215,39.143
23.582,38.831
23.956,38.524
24.336,38.220
24.723,37.920
25.117,37.624
25.519,37.334
25.930,37.048
26.349,36.767
26.777,36.491
27.214,36.220
27.658,35.953
28.109,35.691
28.569,35.434
29.035,35.180
29.508,34.931
29.987,34.685
30.472,34.444
30.964,34.205
31.460,33.970
31.962,33.738
32.469,33.509
32.981,33.283
33.497,33.060
34.017,32.839
34.540,32.620
35.067,32.404
35.597,32.190
36.130,31.977
36.665,31.766
37.203,31.557
37.742,31.349
38.283,31.142
38.825,30.936
39.369,30.732
39.915,30.529
40.462,30.327
41.010,30.127
41.560,29.928
42.111,29.732
42.665,29.537
43.219,29.344
43.776,29.153
44.334,28.964
44.894,28.778
45.455,28.593
46.018,28.412
46.583,28.233
47.150,28.056
47.718,27.882
48.289,27.711
48.861,27.543
49.435,27.378
50.011,27.217
50.589,27.058
51.169,26.903
51.751,26.751
52.334,26.603
52.920,26.458
53.508,26.318
54.098,26.180
54.689,26.046
55.283,25.916
55.878,25.788
56.474,25.664
57.073,25.542
57.672,25.423
58.273,25.307
58.876,25.193
59.480,25.081
60.085,24.972
60.691,24.864
61.298,24.759
61.906,24.655
62.515,24.553
63.124,24.453
63.735,24.354
64.346,24.256
64.958,24.159
65.570,24.063
66.182,23.968
66.796,23.873
67.409,23.780
68.022,23.686
68.636,23.593
69.250,23.500
