Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0093-0028,Point,28,93,1,1,1,none,none,0,0,0,0,0
1,0103-0283,Point,283,103,1,1,1,none,none,0,0,0,0,0
