 ,Area,Mean,Min,Max,X,Y,Perim.
1,110,3602.106,3570.667,3642.105,388.000,270.500,42
2,121,3601.584,3522.287,3643.709,329.500,420.500,44
3,132,3582.931,3532.765,3632.938,133.500,128.000,46
4,132,3579.618,3528.279,3627.825,434.500,117.000,46
