X,Y
0,4593.625
1,4598.938
2,4597.531
3,4591.900
4,4597.291
5,4599.507
6,4613.898
7,4632.000
8,4654.389
9,4672.571
10,4687.773
11,4708.522
12,4732.666
13,4751.844
14,4765.354
15,4778.352
16,4788.522
17,4795.798
18,4803.902
19,4810.792
20,4812.541
21,4829.629
22,4846.351
23,4862.917
24,4872.831
25,4883.595
26,4884.187
27,4882.538
28,4884.553
29,4886.238
30,4892.039
31,4900.931
32,4903.593
33,4892.767
34,4873.742
35,4862.422
36,4845.846
37,4828.106
38,4813.125
39,4796.313
40,4776.930
41,4758.337
42,4740.016
43,4730.383
44,4712.646
45,4701.892
46,4689.724
47,4672.154
48,4663.286
49,4655.917
50,4647.804
51,4631.107
52,4615.280
53,4596.398
54,4583.782
55,4566.868
56,4560.831
57,4548.366
58,4538.055
59,4527.416
60,4515.666
61,4503.153
62,4492.059
63,4483.486
64,4480.129
65,4470.270
66,4472.160
67,4464.482
68,4462.647
69,4465.678
70,4471.399
71,4467.511
72,4464.308
73,4465.555
74,4470.831
75,4477.006
76,4472.867
77,4478.493
78,4479.315
79,4489.991
80,4499.075
81,4504.437
82,4511.197
83,4521.093
84,4534.918
85,4548.912
86,4559.477
87,4569.884
88,4585.706
89,4601.556
90,4615.608
91,4633.187
92,4653.867
93,4679.527
94,4690.020
95,4695.378
96,4711.996
97,4726.860
98,4740.882
99,4753.480
100,4765.247
101,4775.312
102,4781.777
103,4788.203
104,4792.487
105,4794.424
106,4797.745
107,4794.358
108,4784.356
109,4785.583
110,4785.867
111,4786.792
112,4780.844
113,4769.706
114,4761.691
115,4755.426
116,4743.130
117,4725.798
118,4705.146
119,4679.799
120,4665.819
121,4654.834
122,4645.326
123,4627.392
124,4607.316
125,4584.250
126,4559.844
