X,Y
66.000,140.143
66.793,140.053
67.587,139.964
68.381,139.875
69.175,139.786
69.970,139.698
70.766,139.610
71.563,139.523
72.361,139.438
73.160,139.353
73.961,139.270
74.764,139.188
75.568,139.107
76.374,139.029
77.183,138.952
77.994,138.877
78.807,138.804
79.623,138.733
80.442,138.665
81.264,138.599
82.089,138.536
82.918,138.476
83.750,138.418
84.586,138.364
85.425,138.313
86.269,138.265
87.116,138.221
87.968,138.180
88.825,138.143
89.686,138.110
90.553,138.081
91.424,138.056
92.300,138.036
93.182,138.020
94.069,138.008
94.962,138.002
95.861,138.000
96.766,138.003
97.677,138.012
98.594,138.025
99.518,138.044
100.448,138.069
101.386,138.099
102.330,138.136
103.282,138.178
104.241,138.226
105.207,138.280
106.179,138.340
107.159,138.405
108.144,138.476
109.137,138.552
110.136,138.633
111.141,138.720
112.152,138.812
113.169,138.908
114.192,139.010
115.220,139.116
116.254,139.227
117.294,139.343
118.339,139.462
119.389,139.587
120.444,139.715
121.504,139.847
122.569,139.984
123.638,140.124
124.712,140.268
125.791,140.416
126.873,140.567
127.960,140.722
129.051,140.880
130.146,141.041
131.244,141.206
132.346,141.373
133.452,141.544
134.561,141.717
135.673,141.893
136.788,142.071
137.907,142.252
139.028,142.436
140.151,142.621
141.278,142.809
142.407,142.999
143.538,143.191
144.671,143.384
145.807,143.580
146.944,143.776
148.084,143.975
149.225,144.175
150.367,144.376
151.511,144.578
152.656,144.782
153.803,144.986
154.950,145.191
156.098,145.397
157.247,145.604
158.397,145.811
159.547,146.019
160.698,146.226
161.849,146.435
163.000,146.643
