X,Y
29.000,65.000
29.592,65.483
30.184,65.966
30.777,66.449
31.371,66.931
31.967,67.413
32.564,67.893
33.163,68.373
33.764,68.851
34.368,69.329
34.975,69.804
35.585,70.278
36.200,70.750
36.818,71.219
37.440,71.687
38.067,72.152
38.699,72.614
39.337,73.074
39.980,73.531
40.629,73.985
41.284,74.435
41.947,74.882
42.616,75.325
43.291,75.764
43.971,76.200
44.657,76.630
45.347,77.056
46.041,77.477
46.739,77.893
47.439,78.303
48.141,78.708
48.846,79.106
49.551,79.498
50.256,79.884
50.962,80.263
51.667,80.634
52.370,80.999
53.072,81.356
53.772,81.704
54.468,82.045
55.161,82.377
55.850,82.701
56.535,83.016
57.214,83.321
57.889,83.618
58.560,83.907
59.229,84.187
59.895,84.460
60.559,84.726
61.222,84.985
61.886,85.238
62.550,85.485
63.215,85.726
63.882,85.962
64.552,86.193
65.225,86.420
65.902,86.644
66.584,86.863
67.272,87.079
67.966,87.293
68.667,87.504
69.375,87.714
70.092,87.921
70.816,88.127
71.548,88.332
72.285,88.534
73.027,88.735
73.773,88.934
74.523,89.130
75.275,89.324
76.028,89.516
76.782,89.705
77.536,89.891
78.288,90.074
79.038,90.255
79.785,90.432
80.528,90.606
81.266,90.777
81.999,90.944
82.724,91.108
83.442,91.268
84.152,91.424
84.852,91.576
85.542,91.724
86.224,91.869
86.897,92.010
87.562,92.148
88.220,92.283
88.872,92.415
89.517,92.544
90.156,92.671
90.790,92.796
91.420,92.920
92.046,93.041
92.668,93.162
93.288,93.281
93.906,93.399
94.521,93.516
95.136,93.633
95.750,93.750
