Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0069-0022,Point,22,69,1,1,1,none,none,0,0,0,0,0
1,0063-0182,Point,182,63,1,0,1,none,none,0,0,0,0,0
