X,Y
34.000,61.000
34.341,61.104
34.682,61.208
35.024,61.312
35.366,61.416
35.709,61.519
36.052,61.622
36.397,61.724
36.742,61.825
37.090,61.926
37.438,62.025
37.788,62.124
38.140,62.221
38.495,62.317
38.851,62.411
39.209,62.504
39.571,62.595
39.934,62.685
40.301,62.773
40.671,62.858
41.043,62.942
41.420,63.024
41.799,63.103
42.183,63.180
42.570,63.254
42.961,63.326
43.356,63.395
43.756,63.461
44.160,63.525
44.569,63.585
44.982,63.643
45.400,63.697
45.822,63.749
46.248,63.799
46.677,63.846
47.111,63.890
47.549,63.933
47.990,63.973
48.435,64.010
48.883,64.046
49.334,64.080
49.789,64.112
50.247,64.142
50.707,64.170
51.171,64.197
51.637,64.222
52.106,64.246
52.577,64.269
53.051,64.290
53.527,64.310
54.005,64.329
54.485,64.346
54.967,64.363
55.451,64.380
55.936,64.395
56.423,64.410
56.912,64.424
57.402,64.438
57.893,64.451
58.385,64.464
58.879,64.477
59.373,64.490
59.868,64.503
60.363,64.516
60.860,64.529
61.356,64.542
61.854,64.555
62.352,64.568
62.851,64.581
63.350,64.594
63.850,64.607
64.350,64.620
64.851,64.634
65.352,64.647
65.854,64.660
66.356,64.673
66.859,64.687
67.362,64.700
67.866,64.714
68.370,64.727
68.874,64.741
69.379,64.754
69.883,64.768
70.389,64.781
70.894,64.795
71.400,64.808
71.906,64.822
72.412,64.836
72.919,64.849
73.426,64.863
73.933,64.877
74.440,64.890
74.947,64.904
75.454,64.918
75.962,64.931
76.469,64.945
76.977,64.959
77.485,64.973
77.992,64.986
78.500,65.000
