Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0051-0018,Point,18,51,1,1,1,none,none,0,0,0,0,0
1,0055-0144,Point,144,55,1,1,1,none,none,0,0,0,0,0
