Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0055-0016,Point,16,55,1,1,1,none,none,0,0,0,0,0
1,0058-0152,Point,152,58,1,1,1,none,none,0,0,0,0,0
