X,Y
20.000,57.000
20.422,57.382
20.844,57.765
21.266,58.146
21.688,58.528
22.111,58.909
22.534,59.288
22.958,59.667
23.383,60.045
23.809,60.422
24.236,60.797
24.664,61.170
25.093,61.542
25.524,61.911
25.956,62.279
26.389,62.644
26.825,63.007
27.262,63.367
27.701,63.724
28.142,64.078
28.586,64.430
29.031,64.778
29.479,65.122
29.930,65.463
30.383,65.800
30.839,66.134
31.298,66.463
31.759,66.788
32.224,67.109
32.693,67.427
33.165,67.741
33.640,68.052
34.120,68.360
34.604,68.666
35.093,68.968
35.586,69.268
36.084,69.566
36.587,69.862
37.095,70.156
37.609,70.448
38.128,70.739
38.654,71.029
39.185,71.318
39.722,71.605
40.266,71.893
40.817,72.179
41.375,72.466
41.939,72.752
42.511,73.039
43.090,73.326
43.677,73.613
44.272,73.901
44.875,74.190
45.486,74.481
46.105,74.772
46.731,75.064
47.362,75.355
47.998,75.647
48.639,75.938
49.282,76.228
49.928,76.517
50.576,76.804
51.224,77.090
51.872,77.373
52.519,77.653
53.163,77.930
53.805,78.204
54.443,78.474
55.076,78.740
55.703,79.001
56.325,79.257
56.939,79.509
57.544,79.754
58.141,79.994
58.727,80.227
59.303,80.454
59.867,80.674
60.419,80.886
60.957,81.090
61.481,81.287
61.989,81.475
62.481,81.654
62.957,81.823
63.415,81.984
63.857,82.136
64.285,82.280
64.698,82.417
65.098,82.546
65.487,82.669
65.864,82.786
66.231,82.898
66.589,83.005
66.939,83.108
67.282,83.206
67.620,83.302
67.952,83.395
68.280,83.485
68.605,83.575
68.928,83.663
69.250,83.750
