Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0071-0028,Point,28,71,1,1,1,none,none,0,0,0,0,0
1,0070-0171,Point,171,70,1,1,1,none,none,0,0,0,0,0
