X,Y
34.000,52.000
34.485,51.023
34.971,50.047
35.455,49.073
35.938,48.102
36.421,47.134
36.901,46.171
37.380,45.214
37.856,44.263
38.329,43.319
38.800,42.384
39.267,41.459
39.731,40.543
40.190,39.639
40.646,38.747
41.096,37.868
41.542,37.003
41.983,36.153
42.417,35.319
42.846,34.501
43.269,33.702
43.685,32.920
44.094,32.159
44.496,31.418
44.893,30.697
45.287,29.998
45.678,29.320
46.068,28.665
46.459,28.031
46.852,27.420
47.249,26.832
47.652,26.267
48.061,25.726
48.479,25.210
48.907,24.717
49.346,24.250
49.798,23.807
50.265,23.391
50.748,23.000
51.245,22.636
51.756,22.300
52.279,21.993
52.811,21.715
53.352,21.468
53.900,21.252
54.453,21.068
55.010,20.918
55.569,20.802
56.129,20.721
56.687,20.676
57.243,20.668
57.796,20.697
58.344,20.763
58.890,20.865
59.433,21.004
59.972,21.177
60.509,21.386
61.043,21.628
61.574,21.905
62.103,22.215
62.630,22.558
63.154,22.934
63.677,23.342
64.198,23.781
64.718,24.248
65.239,24.742
65.762,25.260
66.287,25.798
66.817,26.355
67.352,26.927
67.894,27.513
68.443,28.108
69.001,28.712
69.569,29.321
70.149,29.932
70.740,30.543
71.346,31.151
71.966,31.754
72.603,32.349
73.257,32.933
73.929,33.505
74.618,34.063
75.325,34.609
76.047,35.143
76.784,35.666
77.535,36.179
78.300,36.683
79.076,37.177
79.864,37.664
80.662,38.142
81.469,38.614
82.284,39.080
83.108,39.540
83.937,39.996
84.772,40.447
85.612,40.895
86.456,41.341
87.302,41.784
88.151,42.226
89.000,42.667
