Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0027-0056,Point,56,27,1,1,1,none,none,0,0,0,0,0
1,0023-0056,Point,56,23,1,1,1,none,none,0,0,0,0,0
