X,Y
67.000,96.000
67.679,95.164
68.356,94.327
69.031,93.485
69.702,92.638
70.367,91.782
71.026,90.917
71.676,90.040
72.317,89.150
72.947,88.243
73.565,87.319
74.169,86.375
74.759,85.410
75.332,84.421
75.888,83.410
76.427,82.378
76.948,81.330
77.452,80.267
77.937,79.193
78.405,78.110
78.854,77.022
79.284,75.931
79.695,74.840
80.087,73.751
80.459,72.669
80.812,71.595
81.145,70.532
81.460,69.483
81.764,68.448
82.063,67.431
82.361,66.431
82.666,65.451
82.984,64.492
83.319,63.555
83.679,62.643
84.068,61.755
84.494,60.895
84.962,60.063
85.477,59.261
86.036,58.493
86.638,57.763
87.279,57.076
87.955,56.436
88.664,55.847
89.401,55.313
90.165,54.840
90.950,54.430
91.755,54.089
92.576,53.819
93.409,53.621
94.251,53.489
95.100,53.419
95.952,53.406
96.804,53.445
97.652,53.533
98.493,53.664
99.325,53.834
100.143,54.038
100.947,54.274
101.740,54.543
102.524,54.845
103.304,55.184
104.083,55.560
104.865,55.976
105.653,56.433
106.450,56.932
107.261,57.475
108.089,58.065
108.935,58.701
109.795,59.376
110.662,60.085
111.531,60.820
112.396,61.574
113.251,62.342
114.090,63.115
114.908,63.888
115.698,64.653
116.455,65.403
117.172,66.133
117.844,66.834
118.466,67.502
119.045,68.135
119.593,68.738
120.120,69.314
120.640,69.866
121.163,70.398
121.702,70.913
122.269,71.414
122.875,71.905
123.531,72.388
124.237,72.866
124.987,73.338
125.777,73.806
126.601,74.270
127.456,74.730
128.335,75.188
129.234,75.643
130.148,76.096
131.071,76.548
132.000,77.000
