X,Y
86.667,79.000
87.655,77.742
88.644,76.484
89.633,75.226
90.623,73.970
91.615,72.714
92.607,71.460
93.602,70.208
94.598,68.958
95.596,67.710
96.597,66.465
97.600,65.222
98.607,63.983
99.617,62.747
100.630,61.514
101.647,60.286
102.668,59.062
103.694,57.843
104.724,56.629
105.761,55.423
106.805,54.225
107.856,53.036
108.917,51.860
109.987,50.696
111.067,49.546
112.160,48.412
113.265,47.295
114.383,46.196
115.516,45.117
116.664,44.060
117.828,43.025
119.010,42.015
120.210,41.031
121.429,40.073
122.667,39.146
123.923,38.255
125.197,37.403
126.489,36.596
127.797,35.838
129.122,35.135
130.462,34.490
131.818,33.908
133.188,33.394
134.572,32.954
135.969,32.590
137.379,32.309
138.801,32.115
140.235,32.012
141.679,32.005
143.135,32.093
144.599,32.271
146.073,32.536
147.555,32.882
149.044,33.307
150.540,33.805
152.042,34.373
153.550,35.006
155.062,35.700
156.577,36.451
158.096,37.255
159.617,38.107
161.140,39.004
162.664,39.941
164.187,40.914
165.710,41.918
167.233,42.950
168.753,44.006
170.273,45.083
171.791,46.176
173.307,47.282
174.822,48.397
176.334,49.517
177.845,50.639
179.353,51.759
180.859,52.874
182.363,53.979
183.865,55.072
185.363,56.147
186.859,57.202
188.352,58.233
189.842,59.236
191.329,60.208
192.813,61.144
194.294,62.042
195.771,62.900
197.244,63.720
198.715,64.505
200.184,65.258
201.649,65.981
203.113,66.676
204.574,67.346
206.034,67.994
207.491,68.622
208.948,69.232
210.403,69.828
211.857,70.410
213.310,70.983
214.763,71.549
216.215,72.109
217.667,72.667
