Index,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0037-0070,Point,70,37,1,1,1,none,none,0,0,0,0,0
1,0031-0070,Point,70,31,1,1,1,none,none,0,0,0,0,0
