X,Y
0,3877.967
1,3880.586
2,3886.970
3,3885.260
4,3889.774
5,3898.672
6,3909.237
7,3919.602
8,3930.162
9,3941.016
10,3942.618
11,3944.547
12,3954.903
13,3965.152
14,3976.128
15,3977.978
16,3977.991
17,3987.656
18,3999.899
19,4004.237
20,4021.069
21,4023.289
22,4026.811
23,4021.820
24,4023.244
25,4028.090
26,4028.517
27,4032.214
28,4037.000
29,4039.545
30,4044.180
31,4043.660
32,4041.876
33,4042.611
34,4044.641
35,4051.443
36,4065.216
37,4070.353
38,4070.851
39,4074.892
40,4068.941
41,4067.547
42,4063.129
43,4058.084
44,4054.238
45,4058.658
46,4050.310
47,4047.419
48,4046.476
49,4048.605
50,4054.918
51,4054.656
52,4051.700
53,4056.445
54,4057.589
55,4061.671
56,4060.533
57,4056.763
58,4055.793
59,4056.774
60,4053.704
61,4054.069
62,4056.824
63,4051.917
64,4049.120
65,4049.513
66,4056.799
67,4058.044
68,4053.606
69,4046.976
70,4046.081
71,4049.129
72,4048.028
73,4046.217
74,4036.082
75,4028.124
76,4022.680
77,4025.884
78,4023.464
79,4023.231
80,4020.276
81,4017.835
82,4018.678
83,4016.357
84,4024.526
85,4026.724
86,4023.586
87,4023.569
88,4024.955
89,4026.013
90,4034.250
91,4032.442
92,4041.185
93,4039.044
94,4039.529
95,4032.458
96,4025.313
97,4024.169
98,4025.899
99,4035.784
100,4041.477
101,4041.448
102,4030.399
103,4020.178
104,4013.302
105,4014.197
106,4009.597
107,3999.503
108,3998.788
109,3992.024
110,3987.947
111,3983.193
112,3974.679
113,3966.771
114,3965.344
115,3966.179
116,3962.499
117,3948.394
118,3937.448
119,3933.963
120,3930.275
121,3924.469
122,3921.304
123,3917.211
124,3912.083
125,3905.817
126,3899.919
