 ,Area,Mean,Min,Max,X,Y,Perim.
1,110,3610.384,3576.568,3644.656,388.000,270.500,42
2,121,3613.913,3573.142,3658.685,329.500,420.500,44
3,132,3601.220,3558.783,3635.259,133.500,128.000,46
4,132,3591.827,3530.493,3626.011,434.500,117.000,46
